Index	Link	Playlist ID	Essential/Optional (E/O)
Exercise 1	/e/measuring_angles/	g5_p20	E
Video 5	/v/acute-right-and-obtuse-angles/	g5_p20	E
Exercise 2	/e/angle_types/	g5_p20	E
Video 6	/v/vertical--adjacent-and-linearly-paired-angles/	g5_p20	E
Exercise 3	/e/exploring_angle_pairs_1/	g5_p20	E


Playlist 21 - Circles		g5_p21


	Subtitle : Week 25	g5_p21
Video 1	/v/language-and-notation-of-the-circle/	g5_p21	E
Video 2	/v/circles--radius--diameter-and-circumference/	g5_p21	E
Video 3	/v/length-of-an-arc-that-subtends-a-central-angle/	g5_p21	O
Video 4	/v/finding-central-angle-measure-given-arc-length/	g5_p21	O
Video 5	/v/parts-of-a-circle/	g5_p21	E
Video 6	/v/area-of-a-circle/	g5_p21	E
Video 7	/v/area-of-a-sector-given-a-central-angle	g5_p21	O
Exercise 1	/e/circles_and_arcs/	g5_p21	O
Exercise 2	/e/areas_of_circles_and_sectors/	g5_p21	O

	Quiz 13	g5_p20, g5_p21

	Unit test 6 	 g5_p18, g5_p19, g5_p20, g5_p21, g5_p21
